"","Organization","Website","Sector","Dimension","Component","Indicator","Resources","Latitude","Longitude"
"364","THE RED SOX FOUNDATION INC","https://www.redsoxfoundation.org/","Social","TBD","TBD","TBD",6794114,42.34584,-71.09878
"365","PROJECT PLACE GATEHOUSE INC","http://projectplace.org/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",8696110,42.34387,-71.06634
"366","BUILDING EXCELLENT SCHOOLS INC","http://buildingexcellentschools.org/","Social","Opportunity","Access to Advanced Education","Inequality in the attainment of education",12301533,42.35648,-71.05801
"367","NEWBRIDGE ON THE CHARLES INC","http://www.hebrewseniorlife.org/newbridge","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",44772608,42.29679,-71.13098
"368","HEALTH LEADS INC","https://healthleadsusa.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",16046454,42.35744,-71.05931
"369","TAUNTON DEVELOPMENT MASSDEVELOPMENT CORPORATION","http://www.massdevelopment.com/news/taunton-development-massdevelopment-corp.-helps-startup-makerspace-south-co/","Social","Opportunity","Personal Freedom and Choice","Employment opportunity",2969807,42.35418,-71.0547
"370","COMMUNITY SCHOLARSHIP FOUNDATION INC","http://bcsfds.dollarsforscholars.org/index.php?section=chapterWebsite&action=main&fwID=1272","Social","Opportunity","Access to Advanced Education","Years of tertiary schooling",637037,42.34722,-71.08184
"371","KIT CLARK SENIOR SERVICES INC","https://www.baycove.org/bcexternal/index.cfm?objectID=E86A70C0-27C3-11DF-9533000423B5542E","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",8925388,42.36367,-71.05969
"372","DANA-FARBER CANCER CARE NETWORK INC","http://www.dana-farber.org/","Social","Foundations of Wellbeing","Health and Wellness","Premature deaths from non-communicable diseases",6775358,42.33749,-71.10814
"373","THE WANG CENTER FOR THE PERFORMING ARTS INC","http://www.citicenter.org/","Social","Opportunity","Personal Freedom and Choice","Freedom over life choices",11560663,42.35028,-71.06496
"374","NELSON MANDELA CHILDRENS FUND USA INC","http://www.nelsonmandelachildrensfundusa.org/","Social","TBD","TBD","TBD",10456806,42.35185,-71.05743
"375","CAMP HARBOR VIEW FOUNDATION INC","http://chvf.org/","Social","Opportunity","Tolerance and Inclusion","Community safety net",3989629,42.34922,-71.07512
"376","HEBREW SENIOR LIFE INC","http://www.hebrewseniorlife.org/","Social","Foundations of Wellbeing","Health and Wellness","Care for aging",23365197,42.29679,-71.13098
"377","PARTNERS HEALTHCARE SYSTEM INC","http://www.partners.org/","Social","Foundations of Wellbeing","Health and Wellness","Life expectancy",11091388129,42.36315,-71.06883
"378","AlliedBarton Security Services","alliedbarton.com/boston","Private","Opportunity","Personal Rights","Private property rights",1.306e+09,42.34688,-71.08112
"379","Securitas Security Services USA Inc.","securitasinc.com","Private","Opportunity","Personal Rights","Private property rights",4.707e+09,42.34551,-71.03551
"380","SecurAmerica LLC","securamericallc.com","Private","Opportunity","Personal Rights","Private property rights",7.4e+07,42.35648,-71.05801
"381","Elite Protective Services","eliteprotective.com","Private","Opportunity","Personal Rights","Private property rights",1500000,42.32816,-71.07246
"382","Gourmet Caterers Inc.","gourmetcaterers.com","Private","Foundations of Wellbeing","Health and Wellness","Obesity rate",7820000,42.29621,-71.1182
"383","Milk Street Cafe","milkstreetcafe.com","Private","Foundations of Wellbeing","Health and Wellness","Obesity rate",2850000,42.357,-71.05762
"384","Au Bon Pain","aubonpain.com","Private","Foundations of Wellbeing","Health and Wellness","Obesity rate",296270000,42.34661,-71.02837
"385","Above and Beyond Catering Inc.","aboveabc.com/","Private","Foundations of Wellbeing","Health and Wellness","Obesity rate",2e+06,42.3389,-71.06786
"386","Boston Park Plaza","bostonparkplaza.com","Private","Opportunity","Personal Rights","Freedom of assembly/association",22270000,42.35104,-71.0697
"387","Hilton Boston Logan Airport","BostonLogan.Hilton.com","Private","Opportunity","Personal Rights","Freedom of assembly/association",4620000,42.3674,-71.0231
"388","InterContinental Boston","intercontinentalboston.com","Private","Opportunity","Personal Rights","Freedom of assembly/association",11500000,42.3539,-71.05206
"389","The Lenox Hotel","lenoxhotel.com","Private","Opportunity","Personal Rights","Freedom of assembly/association",8410000,42.34915,-71.07963
"390","CBRE/New England","cbre-ne.com","Private","Opportunity","Personal Rights","Private property rights",41230000,42.35617,-71.05842
"391","Cushman & Wakefield","cushmanwakefield.com","Private","Opportunity","Personal Rights","Private property rights",2251390000,42.35603,-71.05405
"392","JLL","jll.com/boston","Private","Opportunity","Personal Rights","Private property rights",5.956e+09,42.35672,-71.05478
"393","NAI Hunneman","naihunneman.com","Private","Opportunity","Personal Rights","Private property rights",520000,42.35123,-71.0506
"394","Cresa Boston","cresa.com/boston","Private","Opportunity","Personal Rights","Private property rights",196550000,42.36003,-71.05317
"395","Related Beal","relatedbeal.com","Private","Opportunity","Personal Rights","Private property rights",9030000,42.35839,-71.05251
"396","Vesper Realty Advisors Inc.","vesper-ne.com","Private","Opportunity","Personal Rights","Private property rights",430000,42.35525,-71.05844
"397","Conventures Inc.","conventures.com","Private","TBD","TBD","TBD",1500000,42.34427,-71.03057
"398","Corinthian Events","corinthianevents.com","Private","TBD","TBD","TBD",6580000,42.3523,-71.05958
"399","NXTevent Inc.","nxtevent.com","Private","TBD","TBD","TBD",890000,42.33951,-71.03735
"400","Altieri Events LLC","aeevents.com","Private","TBD","TBD","TBD",680000,42.33574,-71.04238
"401","Polaris Partners","polarispartners.com","Private","TBD","TBD","TBD",70380000,42.3532,-71.04535
"402","MPM Capital LLC","mpmcapital.com","Private","TBD","TBD","TBD",7760000,42.34922,-71.07512
"403","Bain Capital Ventures","baincapitalventures.com","Private","TBD","TBD","TBD",14590000,42.34922,-71.07512
"404","Flybridge Capital Partners","flybridge.com","Private","TBD","TBD","TBD",5410000,42.35044,-71.07427
"405","OpenView Venture Partners","openviewpartners.com","Private","TBD","TBD","TBD",190000,42.35123,-71.0506
"406","Point Judith Capital","pointjudithcapital.com","Private","TBD","TBD","TBD",240000,42.35448,-71.0554
"407","Globespan Capital Partners","globespancapital.com","Private","TBD","TBD","TBD",710000,42.35856,-71.05839
"408","RockPort Capital Partners","rockportcap.com","Private","TBD","TBD","TBD",170000,42.35407,-71.05585
"409","Advanced Technology Ventures","atvcapital.com","Private","TBD","TBD","TBD",2500000,42.35044,-71.07427
"410","Ropes & Gray LLP","ropesgray.com","Private","Opportunity","Personal Rights","Private property rights",335430000,42.34852,-71.0823
"411","Goodwin Procter LLP","http://www.goodwinlaw.com/","Private","Opportunity","Personal Rights","Private property rights",307140000,42.3585,-71.05618
"412","WilmerHale","wilmerhale.com","Private","Opportunity","Personal Rights","Private property rights",343640000,42.3594,-71.05643
"413","Mintz Levin Cohn Ferris Glovsky & Popeo PC","mintz.com","Private","Opportunity","Personal Rights","Private property rights",163770000,42.35221,-71.05641
"414","Morgan, Lewis & Bockius LLP","morganlewis.com","Private","Opportunity","Personal Rights","Private property rights",701270000,42.35611,-71.05683
"415","Choate Hall & Stewart LLP","choate.com","Private","Opportunity","Personal Rights","Private property rights",60310000,42.35643,-71.05191
"416","Goulston & Storrs PC","goulstonstorrs.com","Private","Opportunity","Personal Rights","Private property rights",440000,42.35563,-71.05035
"417","Nutter McClennen & Fish LLP","nutter.com","Private","Opportunity","Personal Rights","Private property rights",38070000,42.34961,-71.04272
"418","Nixon Peabody LLP","nixonpeabody.com","Private","Opportunity","Personal Rights","Private property rights",193200000,42.3539,-71.05734
"419","Holland & Knight LLP","hklaw.com","Private","Opportunity","Personal Rights","Private property rights",363350000,42.35038,-71.07095
"420","Sullivan & Worcester LLP","sandw.com","Private","Opportunity","Personal Rights","Private property rights",51450000,42.35672,-71.05478
"421","Burns & Levinson LLP","burnslev.com","Private","Opportunity","Personal Rights","Private property rights",25320000,42.3531,-71.0574
"422","Locke Lord LLP","lockelord.com","Private","Opportunity","Personal Rights","Private property rights",291910000,42.3461,-71.08145
"423","Proskauer","proskauer.com","Private","Opportunity","Personal Rights","Private property rights",248940000,42.35582,-71.05223
"424","K&L Gates LLP","klgates.com","Private","Opportunity","Personal Rights","Private property rights",461270000,42.35277,-71.05861
"425","Morrison Mahoney LLP","morrisonmahoney.com","Private","Opportunity","Personal Rights","Private property rights",36840000,42.35076,-71.05077
"426","Seyfarth Shaw LLP","seyfarth.com","Private","Opportunity","Personal Rights","Private property rights",271900000,42.34893,-71.04084
"427","McCarter & English LLP","mccarter.com","Private","Opportunity","Personal Rights","Private property rights",206440000,42.3565,-71.05337
"428","Brown Rudnick LLP","brownrudnick.com","Private","Opportunity","Personal Rights","Private property rights",67400000,42.35221,-71.05641
"429","Rubin and Rudman LLP","rubinrudman.com","Private","Opportunity","Personal Rights","Private property rights",17420000,42.3566,-71.05025
"430","Wolf, Greenfield & Sacks","wolfgreenfield.com","Private","Opportunity","Personal Rights","Private property rights",29130000,42.35273,-71.05364
"431","DLA Piper","dlapiper.com","Private","Opportunity","Personal Rights","Private property rights",1174370000,42.35617,-71.05842
"432","Riemer & Braunstein LLP","riemerlaw.com","Private","Opportunity","Personal Rights","Private property rights",16320000,42.35941,-71.06016
"433","McDermott Will & Emery LLP","mwe.com","Private","Opportunity","Personal Rights","Private property rights",1550370000,42.35943,-71.05745
"434","Greenberg Traurig LLP","gtlaw.com","Private","Opportunity","Personal Rights","Private property rights",312350000,42.35582,-71.05223
"435","Prince Lobel Tye LLP","princelobel.com","Private","Opportunity","Personal Rights","Private property rights",19040000,42.36047,-71.06209
"436","Fish & Richardson PC","fr.com","Private","Opportunity","Personal Rights","Private property rights",96480000,42.3532,-71.04535
"437","Nelson Mullins Riley & Scarborough LLP","nelsonmullins.com","Private","Opportunity","Personal Rights","Private property rights",146430000,42.35672,-71.05478
"438","Hinckley Allen","hinckleyallen.com","Private","Opportunity","Personal Rights","Private property rights",53040000,42.35943,-71.05745
"439","Skadden, Arps, Slate, Meagher & Flom LLP & Associates","skadden.com","Private","Opportunity","Personal Rights","Private property rights",649620000,42.35044,-71.07427
"440","Peabody & Arnold LLP","peabodyarnold.com","Private","Opportunity","Personal Rights","Private property rights",34690000,42.35273,-71.05364
"441","Latham & Watkins LLP","lw.com","Private","Opportunity","Personal Rights","Private property rights",782970000,42.34922,-71.07512
"442","Posternak Blankstein & Lund LLP","pbl.com","Private","Opportunity","Personal Rights","Private property rights",11900000,42.34852,-71.0823
"443","Rackemann, Sawyer & Brewster","rackemann.com","Private","Opportunity","Personal Rights","Private property rights",50000,42.35407,-71.05585
"444","LeClair Ryan","leclairryan.com","Private","Opportunity","Personal Rights","Private property rights",124480000,42.35582,-71.05223
"445","Todd & Weld LLP","toddweld.com","Private","Opportunity","Personal Rights","Private property rights",11340000,42.35611,-71.05683
"446","Sherin and Lodgen LLP","sherin.com","Private","Opportunity","Personal Rights","Private property rights",10350000,42.355,-71.05682
"447","Lawson & Weitzen LLP","lawson-weitzen.com","Private","Opportunity","Personal Rights","Private property rights",6840000,42.34388,-71.02417
"448","Jones Day","jonesday.com","Private","Opportunity","Personal Rights","Private property rights",989200000,42.35447,-71.0554
"449","Cetrulo LLP","cetrulollp.com","Private","Opportunity","Personal Rights","Private property rights",12980000,42.34893,-71.04084
"450","Dechert LLP","dechert.com","Private","Opportunity","Personal Rights","Private property rights",341160000,42.35582,-71.05223
"451","Hemenway & Barnes LLP","hembar.com","Private","Opportunity","Personal Rights","Private property rights",18100000,42.35866,-71.05507
"452","Pepper Hamilton LLP","pepperlaw.com","Private","Opportunity","Personal Rights","Private property rights",213150000,42.35529,-71.05308
"453","Day Pitney LLP","daypitney.com","Private","Opportunity","Personal Rights","Private property rights",119010000,42.35582,-71.05223
"454","Donovan Hatem LLP","donovanhatem.com","Private","Opportunity","Personal Rights","Private property rights",13820000,42.3585,-71.05618
"455","Sunstein Kann Murphy & Timbers LLP","sunsteinlaw.com","Private","Opportunity","Personal Rights","Private property rights",10470000,42.3531,-71.0574
"456","Weil, Gotshal & Manges LLP","weil.com","Private","Opportunity","Personal Rights","Private property rights",380780000,42.35516,-71.05587
"457","Duane Morris LLP","duanemorris.com","Private","Opportunity","Personal Rights","Private property rights",318970000,42.35447,-71.0554
"458","Robinson & Cole LLP","rc.com","Private","Opportunity","Personal Rights","Private property rights",77120000,42.35856,-71.05839
"459","Manion Gaynor & Manning LLP","mgmlaw.com","Private","Opportunity","Personal Rights","Private property rights",14710000,42.35529,-71.05308
"460","Murtha Cullina LLP","murthalaw.com","Private","Opportunity","Personal Rights","Private property rights",47780000,42.35418,-71.0547
"461","Jackson Lewis LLP","jacksonlewis.com","Private","Opportunity","Personal Rights","Private property rights",3390000,42.35166,-71.06988
"462","Conn Kavanaugh Rosenthal Peisch & Ford LLP","connkavanaugh.com","Private","Opportunity","Personal Rights","Private property rights",7230000,42.35743,-71.05574
"463","Morgan, Brown & Joy LLP","morganbrown.com","Private","Opportunity","Personal Rights","Private property rights",620000,42.36003,-71.05317
"464","Sugarman, Rogers, Barshak & Cohen PC","srbc.com","Private","Opportunity","Personal Rights","Private property rights",6820000,42.36385,-71.06167
"465","Pierce Atwood LLP","pierceatwood.com","Private","Opportunity","Personal Rights","Private property rights",37870000,42.3539,-71.05734
"466","Gesmer Updegrove LLP","gesmer.com","Private","Opportunity","Personal Rights","Private property rights",7010000,42.35841,-71.05384
"467","Rich May, PC","richmaylaw.com","Private","Opportunity","Personal Rights","Private property rights",2670000,42.35351,-71.05578
"468","Verrill Dana","verrilldana.com","Private","Opportunity","Personal Rights","Private property rights",27600000,42.35856,-71.05839
"469","Ruberto, Israel & Weiner","riw.com","Private","Opportunity","Personal Rights","Private property rights",6220000,42.35938,-71.05129
"470","Collora","collorallp.com","Private","Opportunity","Personal Rights","Private property rights",5820000,42.35447,-71.0554
"471","Bernkopf Goodman LLP","bg-llp.com","Private","Opportunity","Personal Rights","Private property rights",6590000,42.34893,-71.04084
"472","Littler","littler.com","Private","Opportunity","Personal Rights","Private property rights",311900000,42.35582,-71.05223
"473","Melick & Porter LLP","melicklaw.com","Private","Opportunity","Personal Rights","Political rights",7570000,42.35772,-71.05484
"474","Partridge Snow & Hahn LLP","psh.com","Private","Opportunity","Personal Rights","Political rights",14590000,42.35497,-71.0588
"475","Hamel, Marcin, Dunn, Reardon & Shea PC","hmdrslaw.com","Private","Opportunity","Personal Rights","Political rights",6e+05,42.35497,-71.0588
"476","Krokidas and Bluestein LLP","kb-law.com","Private","Opportunity","Personal Rights","Political rights",3130000,42.35497,-71.0588
"477","Sally & Fitch  LLP","sally-fitch.com","Private","Opportunity","Personal Rights","Political rights",3220000,42.36183,-71.06216
"478","Rudolph Friedmann LLP","rflawyers.com","Private","Opportunity","Personal Rights","Political rights",580000,42.36183,-71.06216
"479","Wilson Elser","wilsonelser.com","Private","Opportunity","Personal Rights","Political rights",318190000,42.36183,-71.06216
"480","Hackett Feinberg PC","http://www.bostonbusinesslaw.com/index.php","Private","Opportunity","Personal Rights","Political rights",2990000,42.35366,-71.05664
"481","Robins Kaplan LLP","rkmc.com","Private","Opportunity","Personal Rights","Political rights",99540000,42.34852,-71.0823
"482","Sassoon & Cymrot LLP","sassooncymrot.com","Private","Opportunity","Personal Rights","Political rights",2500000,42.35915,-71.05565
"483","Boston Properties","bostonproperties.com","Private","Basic Human Needs","Shelter","Housing support",2487660000,42.34852,-71.0823
"484","Intercontinental Management Corp.","intercontinental.net","Private","Basic Human Needs","Shelter","Housing support",11660000,42.36355,-71.13835
"485","Synergy Investments","synergy-inv.com","Private","Basic Human Needs","Shelter","Housing support",2750000,42.35561,-71.05769
"486","Normandy Real Estate Partners","normandyrealty.com","Private","Basic Human Needs","Shelter","Housing support",130000,42.35369,-71.05842
"487","RSM","rsmus.com","Private","TBD","TBD","TBD",1.471e+09,42.37155,-71.06086
"488","Wolf & Co. PC","wolfandco.com","Private","TBD","TBD","TBD",1800000,42.35418,-71.0547
"489","Marcum LLP","marcumllp.com","Private","TBD","TBD","TBD",251390000,42.3585,-71.05618
"490","BDO USA LLP","bdo.com","Private","TBD","TBD","TBD",614560000,42.35643,-71.05191
"491","Edelstein & Co.","edelsteincpa.com","Private","TBD","TBD","TBD",8060000,42.35407,-71.05585
"492","Walter & Shuffain PC","wscpa.com","Private","TBD","TBD","TBD",5350000,42.35582,-71.05223
"493","Raphael and Raphael LLP","rrllp.com","Private","TBD","TBD","TBD",1400000,42.30892,-71.06073
"494","Miller Wachman LLP","millerwachman.com","Private","TBD","TBD","TBD",3430000,42.36047,-71.06209
"495","Novogradac & Co. LLP","novoco.com","Private","TBD","TBD","TBD",970000,42.35497,-71.0588
"496","Weber Shandwick","webershandwick.com","Private","TBD","TBD","TBD",330000,42.35841,-71.05384
"497","451 Marketing","451marketing.com","Private","TBD","TBD","TBD",8430000,42.36599,-71.05881
"498","PAN Communications","pancommunications.com","Private","TBD","TBD","TBD",8040000,42.35938,-71.05129
"499","Rasky Baerlein Strategic Communications","rasky.com","Private","TBD","TBD","TBD",5980000,42.3557,-71.05811
"500","fama PR Inc.","famapr.com","Private","TBD","TBD","TBD",2620000,42.3489,-71.03829
"501","Kel & Partners","kelandpartners.com","Private","TBD","TBD","TBD",3500000,42.34422,-71.03108
"502","360 Public Relations","360PR.com","Private","TBD","TBD","TBD",6240000,42.36003,-71.05317
"503","marlo marketing","marlomarketing.com","Private","TBD","TBD","TBD",890000,42.3539,-71.05965
"504","FleishmanHillard","fleishmanhillard.com","Private","TBD","TBD","TBD",5240000,42.34883,-71.08313
"505","Denterlein","denterlein.com","Private","TBD","TBD","TBD",620000,42.35667,-71.05649
"506","Solomon McCown & Co. Inc.","solomonmccown.com","Private","TBD","TBD","TBD",2e+06,42.35839,-71.05251
"507","Schneider Associates","schneiderpr.com","Private","TBD","TBD","TBD",4580000,42.35717,-71.05433
"508","Foley & Lardner LLP","foley.com","Private","TBD","TBD","TBD",422330000,42.3461,-71.08145
"509","Finnegan, Henderson, Farabow, Garrett & Dunner LLP","finnegan.com","Private","Opportunity","Personal Rights","Political rights",109553000,42.34893,-71.04084
"510","Fiksu Inc.","fiksu.com","Private","TBD","TBD","TBD",8470000,42.35095,-71.07157
"511","Mendix Inc.","mendix.com","Private","TBD","TBD","TBD",22640000,42.35057,-71.05019
"512","Apperian","apperian.com","Private","TBD","TBD","TBD",9030000,42.35841,-71.05384
"513","Kinvey","kinvey.com","Private","TBD","TBD","TBD",3340000,42.34915,-71.04864
"514","Swirl Networks","swirl.com","Private","TBD","TBD","TBD",490000,42.35841,-71.05384
"515","Wanderu","wanderu.com","Private","TBD","TBD","TBD",450000,42.35706,-71.05208
"516","InCrowd","incrowd.com","Private","TBD","TBD","TBD",2430000,42.34672,-71.06942
"517","Rethink Robotics","rethinkrobotics.com","Private","TBD","TBD","TBD",5110000,42.347,-71.04936
"518","Jibo Inc.","jibo.com","Private","TBD","TBD","TBD",2900000,42.35455,-71.05409
"519","Empire Robotics Inc.","empirerobotics.com","Private","TBD","TBD","TBD",350000,42.3454,-71.03681
"520","Santander Bank N.A.","santanderbank.com","Private","TBD","TBD","TBD",82023780000,42.35866,-71.05507
"521","MFS Investment Management","mfs.com","Private","TBD","TBD","TBD",2480000,42.3461,-71.08145
"522","DigitasLBi","digitaslbi.com","Private","TBD","TBD","TBD",111680000,42.35617,-71.05842
"523","Arnold Worldwide","arn.com","Private","TBD","TBD","TBD",124260000,42.35548,-71.05978
"524","Intarcia Therapeutics Inc.","intarcia.com","Private","Foundations of Wellbeing","Health and Wellness","Life expectancy",22690000,42.34961,-71.04272
"525","Wayfair Inc.","wayfair.com","Private","TBD","TBD","TBD",2249890000,42.3472,-71.0783
"526","Pulse Media Inc.","pulse-media.com","Private","TBD","TBD","TBD",7e+05,42.34747,-71.06864
"527","Acquia","acquia.com","Private","TBD","TBD","TBD",40030000,42.3585,-71.05618
"528","DraftKings Inc.","draftkings.com","Private","TBD","TBD","TBD",7780000,42.35603,-71.05405
"529","EPIRUS Biopharmaceuticals Inc.","epirusbiopharma.com","Private","TBD","TBD","TBD",7e+05,42.34989,-71.07923
"530","Dane Street","danestreet.com","Private","TBD","TBD","TBD",19660000,42.29772,-71.11658
"531","Raizlabs","raizlabs.com","Private","TBD","TBD","TBD",1210000,42.357,-71.05762
"532","Strategic Workspaces","strategicworkspaces.com","Private","TBD","TBD","TBD",5110000,42.35841,-71.05384
"533","Beacon Hill Staffing Group","beaconhillstaffing.com","Private","Opportunity","Personal Freedom and Choice","Employment opportunity",57630000,42.35826,-71.06241
"534","Fort Point Project Management","fortpointpm.com","Private","Basic Human Needs","Shelter","Housing support",3e+05,42.35187,-71.04958
"535","Dashed","dashed.com","Private","TBD","TBD","TBD",4150000,42.38104,-71.08006
"536","LABUR","labur.com","Private","Opportunity","Personal Freedom and Choice","Employment opportunity",2200000,42.35717,-71.05433
"537","The Colony Group LLC","thecolonygroup.com","Private","TBD","TBD","TBD",13140000,42.36397,-71.05029
"538","Customer Portfolios","customerportfolios.com","Private","TBD","TBD","TBD",6500000,42.34388,-71.02417
"539","Verndale","verndale.com","Private","TBD","TBD","TBD",11980000,42.33344,-71.05553
"540","R.G. Vanderweil Engineers LLP","vanderweil.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","Greenhouse gas emissions",55310000,42.35044,-71.04996
"541","Elkus Manfredi Architects","http://www.elkus-manfredi.com/","Private","Basic Human Needs","Shelter","Housing support",54350000,NA,NA
"542","Unidine Corp.","unidine.com","Private","Basic Human Needs","Nutrition and Basic Medical Care","Depth of food deficit",128750000,42.34585,-71.0643
"543","Fidelity Investments","fidelity.com","Private","TBD","TBD","TBD",24535030000,42.35143,-71.05383
"544","International Data Group (IDG)","idg.com","Private","TBD","TBD","TBD",3.55e+09,42.34989,-71.07923
"545","Suffolk Construction","suffolk.com","Private","Basic Human Needs","Shelter","Housing support",1761100000,42.32835,-71.07029
"546","Plymouth Rock Co.","plymouthrock.com","Private","TBD","TBD","TBD",808260000,42.35158,-71.05627
"547","Shawmut Design and Construction","shawmut.com","Private","Basic Human Needs","Shelter","Housing support",957610000,42.34073,-71.06725
"548","Analysis Group","www.analysisgroup.com","Private","TBD","TBD","TBD",120670000,42.3461,-71.08145
"549","Baystate Financial","baystatefinancial.com","Private","TBD","TBD","TBD",240000,42.34922,-71.07512
"550","NutraClick","nutraclick.com","Private","TBD","TBD","TBD",64200000,42.35744,-71.05931
"551","Gilbane Building Co.","gilbaneco.com","Private","Basic Human Needs","Shelter","Housing support",3840700000,42.34549,-71.05193
"552","Structure Tone Inc.","www.structuretone.com","Private","Basic Human Needs","Shelter","Housing support",269820000,42.35116,-71.05666
"553","Tishman Construction, an AECOM Company","http://www.aecom.com/","Private","Basic Human Needs","Shelter","Housing support",17989880000,42.36025,-71.04882
"554","Dimeo Construction Co.","dimeo.com","Private","Basic Human Needs","Shelter","Housing support",300930000,42.34433,-71.03598
"555","McCourt Construction Co. Inc.","mccourtconstruction.com","Private","Basic Human Needs","Shelter","Housing support",122340000,42.33951,-71.03735
"556","Corderman & Company Inc.","cordermancompany.com","Private","Basic Human Needs","Shelter","Housing support",4590000,42.34864,-71.0502
"557","The Brickman Group / ValleyCrest Landscape Cos.","http://www.brightview.com","Private","Foundations of Wellbeing","Ecosystem Sustainability","biodiversity and habitat",4038600000,42.35723,-71.15638
"558","CBT Architects","cbtarchitects.com","Private","Basic Human Needs","Shelter","Housing support",870000,42.36432,-71.06023
"559","Payette","payette.com","Private","Basic Human Needs","Shelter","Housing support",20130000,42.35327,-71.05256
"560","Gensler","gensler.com","Private","Basic Human Needs","Shelter","Housing support",1650000,42.35845,-71.06085
"561","Wilson Architects Inc.","wilsonarch.com","Private","Basic Human Needs","Shelter","Housing support",12480000,42.35002,-71.04734
"562","ARC/Architectural Resources Cambridge","arcusa.com","Private","Basic Human Needs","Shelter","Housing support",11270000,42.35115,-71.07456
"563","Steffian Bradley Architects","steffian.com","Private","Basic Human Needs","Shelter","Housing support",1780000,42.35115,-71.07456
"564","DiMella Shaffer","dimellashaffer.com","Private","Basic Human Needs","Shelter","Housing support",12310000,42.34977,-71.05002
"565","Perkins+Will Inc.","perkinswill.com","Private","Basic Human Needs","Shelter","Housing support",9390000,42.35603,-71.05405
"566","EYP Architecture & Engineering","eypae.com","Private","Basic Human Needs","Shelter","Housing support",1620000,42.35415,-71.05141
"567","Arrowstreet Inc.","arrowstreet.com","Private","Basic Human Needs","Shelter","Housing support",5210000,42.35415,-71.05141
"568","Bargmann Hendrie + Archetype Inc.","bhplus.com","Private","Basic Human Needs","Shelter","Housing support",5770000,42.35415,-71.05141
"569","NBBJ","nbbj.com","Private","Basic Human Needs","Shelter","Housing support",107400000,42.35845,-71.06085
"570","Margulies Perruzzi Architects","mp-architects.com","Private","Basic Human Needs","Shelter","Housing support",6150000,42.35845,-71.06085
"571","Spagnolo Gisness & Associates Inc.","http://www.sga-arch.com/","Private","Basic Human Needs","Shelter","Housing support",260000,42.35692,-71.05198
"572","Rapid7","rapid7.com","Private","Opportunity","Personal Rights","Private property rights",110530000,42.3539,-71.05734
"573","Core Security","coresecurity.com","Private","Opportunity","Personal Rights","Private property rights",10190000,42.35194,-71.04785
"574","Cigital","cigital.com","Private","Opportunity","Personal Rights","Private property rights",53810000,42.35194,-71.04785
"575","Colliers International | Boston","colliers.com","Private","Basic Human Needs","Shelter","Housing support",1657940000,42.35407,-71.05585
"576","Willis of Massachusetts Inc.","willis.com","Private","TBD","TBD","TBD",26840000,42.35044,-71.07427
"577","Wells Fargo Insurance Services USA Inc.","wfis.wellsfargo.com","Private","TBD","TBD","TBD",9.074e+10,42.34968,-71.07292
"578","Alliant Insurance Services","alliant.com","Private","TBD","TBD","TBD",18490000,42.35523,-71.05254
"579","Cleary Insurance Inc.","clearyinsurance.com","Private","TBD","TBD","TBD",4920000,42.36675,-71.05932
"580","Liberty Mutual Insurance Co.","libertymutual.com","Private","TBD","TBD","TBD",33539960000,42.35006,-71.0718
"581","Plymouth Rock Assurance Corp.","prac.com","Private","TBD","TBD","TBD",651940000,42.35158,-71.05627
"582","Safety Indemnity Insurance Co.","safetyinsurance.com","Private","TBD","TBD","TBD",797953000,42.3581,-71.05336
"583","Medical Professional Mutual Insurance Co.","coverys.com","Private","TBD","TBD","TBD",267860000,42.35221,-71.05641
"584","Atlantic Charter Insurance Co.","http://www.atlanticcharter.com","Private","TBD","TBD","TBD",30590000,42.36212,-71.06175
"585","Bunker Hill Insurance Co.","bunkerhillins.com","Private","TBD","TBD","TBD",3e+07,42.35158,-71.05627
"586","Pilgrim Insurance Co.","pilgrimins.com","Private","TBD","TBD","TBD",23010000,42.35158,-71.05627
"587","State Street Corp.","statestreet.com","Private","TBD","TBD","TBD",1.076e+10,42.35277,-71.05861
"588","LPL Financial Holdings Inc.","www.joinlpl.com","Private","TBD","TBD","TBD",4275050000,42.35845,-71.06085
"589","American Tower Corp.","americantower.com","Private","TBD","TBD","TBD",4771520000,42.34656,-71.07977
"590","Eaton Vance Corp.","https://www.eatonvance.com/","Private","TBD","TBD","TBD",1403560000,42.35938,-71.05129
"591","Atlantic Power Corp.","http://www.atlanticpower.com/","Private","Basic Human Needs","Shelter","Access to electricity",420200000,42.35611,-71.05683
"592","EnerNOC","https://www.enernoc.com/","Private","Basic Human Needs","Shelter","Access to electricity",399580000,42.3532,-71.04535
"593","Boston Private Financial Holdings Inc.","https://www.bostonprivate.com","Private","TBD","TBD","TBD",374840000,42.35743,-71.05574
"594","CRA International Inc.","http://www.charlesriverassociates.com/","Private","TBD","TBD","TBD",303560000,42.34922,-71.07512
"595","Brookline Bancorp Inc.","www.brooklinebank.com","Private","TBD","TBD","TBD",247090000,42.34837,-71.07377
"596","LogMeIn Inc.","https://www.logmeininc.com/","Private","Foundations of Wellbeing","Access to Information and Communications","Internet users",271600000,42.34955,-71.04819
