Organization,Website,Facebook,LinkedIn,Twitter,Pinterest,Organization Description,Programs or Key Initiatives,Program description,Possible Data Set,Open or Closed Data Set,Sector,Sector',Sector Level,Name,Headquarters Street Address,Headquarters City,Headquarters State,Headquarters Zip Code,Headquarters County,Headquarters Country,Region Served,Revenue,Revenue,Budget,NAICS Code,NAICS Definition,NTEE Code,NTEE Definition,Tax ID,Primary Dimension,Primary Componenet,Primary Indicator,SPI Dimension 2,SPI Component 2,SPI Indicator 2,SPI Dimension 3,SPI Component 3,SPI Indicator 3,SPI Dimension 4,SPI Component 4,SPI Indicator 4,SPI Dimension 5,SPI Component 5,SPI Indicator 5,SPI Dimension 6,SPI Component 6,SPI Indicator 6,Notes and Opportunities,Budget/Revenue,Latitude,Longitude
The Home For Little Wanderers Inc,http://www.thehome.org/site/PageServer,http://www.facebook.com/thehomeforlittlewanderers,http://www.linkedin.com/groups?gid=1035777,http://www.twitter.com/thehomeorg,http://www.pinterest.com/thehomeorg,"Serving children and youth from birth to 22, The Home makes a positive impact on over 7,000 lives each year through a wide network of programs. Our ""open door"" structure allows children, families and young adults to access services at any point in the continuum of care, based on their needs.",Residential Care,"The residential programs of The Home for Little Wanderers range from group homes to intensive treatment facilities. In the group homes, children or adolescents are in transition back to their families or going on to independent living, but need support in order to make a successful transition back to their communities.",,,Social,Social,,,10 Guest Street,Boston,Massachusetts,02135-2066,Suffolk,USA,Greater Boston,,,,,,P30,Children & Youth Services,42104764,Basic Human Needs,Shelter,Housing support,,,,,,,,,,,,,,,,,,42.35770,-71.14754
The Home For Little Wanderers Inc,http://www.thehome.org/site/PageServer,http://www.facebook.com/thehomeforlittlewanderers,http://www.linkedin.com/groups?gid=1035777,http://www.twitter.com/thehomeorg,http://www.pinterest.com/thehomeorg,"Serving children and youth from birth to 22, The Home makes a positive impact on over 7,000 lives each year through a wide network of programs. Our ""open door"" structure allows children, families and young adults to access services at any point in the continuum of care, based on their needs.",Special Education,The Home for Little Wanderers operates two state-approved special education programs* for children and youth aged 5 to 18 from cities and towns throughout Eastern Massachusetts.æ,,,Social,Social,,,10 Guest Street,Boston,Massachusetts,02135-2066,Suffolk,USA,Greater Boston,,,,,,P30,Children & Youth Services,42104764,Foundations of Wellbeing,Access to Basic Knowledge,Lower secondary school enrollment,,,,,,,,,,,,,,,,,,42.35770,-71.14754
The Home For Little Wanderers Inc,http://www.thehome.org/site/PageServer,http://www.facebook.com/thehomeforlittlewanderers,http://www.linkedin.com/groups?gid=1035777,http://www.twitter.com/thehomeorg,http://www.pinterest.com/thehomeorg,"Serving children and youth from birth to 22, The Home makes a positive impact on over 7,000 lives each year through a wide network of programs. Our ""open door"" structure allows children, families and young adults to access services at any point in the continuum of care, based on their needs.",Young Adult Resource Network (YARN),"The Young Adult Resource Network (YARN) fosters resiliency and independence for youth aging out of the foster care system through building positive, trusting relationships, and connecting young adults to community resources in hopes they can lead fulfilling and productive lives.",,,Social,Social,,,10 Guest Street,Boston,Massachusetts,02135-2066,Suffolk,USA,Greater Boston,,,,,,P30,Children & Youth Services,42104764,Opportunity,Personal Freedom and Choice,Freedom over life choices,,,,,,,,,,,,,,,,,,42.35770,-71.14754
Peabody Foundation Inc,,,,,,"The primary mission of the Amelia Peabody Foundationæis to increase the number, range, and depth of positive learning experiences available to materially disadvantaged young people living in the cities and towns of Massachusetts.",Core,"The primary mission of the Amelia Peabody Foundationæis to increase the number, range, and depth of positive learning experiences available to materially disadvantaged young people living in the cities and towns of Massachusetts.",,,Social,Social,,,101 Federal Street Suite 19,Boston,Massachusetts,02110-1817,Suffolk,USA,Greater Boston,0,,,,#NAME?,#N/A,#N/A,42104767,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,0,42.35500,-71.05682
Newman Preparatory School,http://www.newmanboston.org/,,,,,"Founded in 1945, The Newman School, an independent day school in the Catholic tradition, prepares young women and men from Greater Boston and around the world for success in university and college studies and life.",Core,"Founded in 1945, The Newman School, an independent day school in the Catholic tradition, prepares young women and men from Greater Boston and around the world for success in university and college studies and life.",,,Social,Social,,,245 Marlborough St,Boston,Massachusetts,02116-1702,Suffolk,USA,Boston,6808973,,,,#NAME?,B25,Secondary & High Schools,42104773,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,,,,,,,,,,,,,,,,,6808973,42.35223,-71.08198
Old South Association In Boston,http://www.osmh.org/,https://www.facebook.com/OSMHBoston,,https://twitter.com/OSMHBoston,,"Since 1877 The Old South Association in Boston has preserved the 1729 Old South Meeting House as a busy museum, treasured National Historic Landmark and an active center for civic dialogue and free expression for 139æyears.",Core,"Since 1877 The Old South Association in Boston has preserved the 1729 Old South Meeting House as a busy museum, treasured National Historic Landmark and an active center for civic dialogue and free expression for 139æyears.",,,Social,Social,,,310 Washington St,Boston,Massachusetts,02108-4639,Suffolk,USA,Boston,960236,,,,#NAME?,A80,Historical Organizations,42104806,TBD,TBD,TBD,,,,,,,,,,,,,,,,,960236,42.35709,-71.05867
Paul Revere Memorial Assoc Corp,https://www.paulreverehouse.org/,http://www.facebook.com/pages/Boston-MA/The-Paul-Revere-House/76362875490?ref=ts,,http://twitter.com/PaulRevere1734,,"The Association actively preserves and interprets two of Boston's oldest homes. We provide our increasingly diverse audience with remarkable educational experiences based on historical issues and social history themes relevant to our site, our neighborhood, and Boston from the 17th through the early 20th century.",Core,"The Association actively preserves and interprets two of Boston's oldest homes. We provide our increasingly diverse audience with remarkable educational experiences based on historical issues and social history themes relevant to our site, our neighborhood, and Boston from the 17th through the early 20th century.",,,Social,Social,,,19 North Sq,Boston,Massachusetts,02113-2405,Suffolk,USA,Boston,1374113,,,,#NAME?,A82,Historical Societies & Historic Preservation,42104820,TBD,TBD,TBD,,,,,,,,,,,,,,,,,1374113,42.36373,-71.05370
Proprietors Of The Social Law Library,http://www.socialaw.com/,https://www.facebook.com/socialawlibrary,https://www.linkedin.com/company/social-law-library,https://twitter.com/socialawlibrary,,"The Library provides research materials, training, continuing legal education and other services to the three branches of Massachusetts government, dues-paying members from all segments of the private bar throughout Massachusetts, as well as to legal-services organizations and law-related nonprofits in every region of the Commonwealth on aæpro bonoæbasis.",Core,"The Library provides research materials, training, continuing legal education and other services to the three branches of Massachusetts government, dues-paying members from all segments of the private bar throughout Massachusetts, as well as to legal-services organizations and law-related nonprofits in every region of the Commonwealth on aæpro bonoæbasis.",Library collection,Open,Social,Social,,,1 Pemberton Sq Ste 4100,Boston,Massachusetts,02108-1702,Suffolk,USA,Greater Boston,5180141,,,,#NAME?,#N/A,#N/A,42104850,TBD,TBD,TBD,,,,,,,,,,,,,,,,,5180141,42.35921,-71.06113
Proprietors Of The Boston Athenaeum,http://www.bostonathenaeum.org/,https://www.facebook.com/Boston.Athenaeum,,https://twitter.com/bostonathenaeum,,"The mission of the BostonæAthen_umæis to serve its members, the broader community, and scholars throughout the world by preserving and augmenting its collections of books and art, by providingælibrary servicesæand cultural programs, and by preserving and enhancing the unique atmosphere of its landmark building.",Core,"The mission of the BostonæAthen_umæis to serve its members, the broader community, and scholars throughout the world by preserving and augmenting its collections of books and art, by providingælibrary servicesæand cultural programs, and by preserving and enhancing the unique atmosphere of its landmark building.",Library collection,Open,Social,Social,,,10 Beacon St # 12,Boston,Massachusetts,02108-3764,Suffolk,USA,Greater Boston,5997286,,,,#NAME?,B70,Libraries,42104852,TBD,TBD,TBD,,,,,,,,,,,,,,,,,5997286,42.35806,-71.06180
Emmanuel College,https://www.emmanuel.edu/,https://www.facebook.com/emmanuelcollege,http://www.linkedin.com/edu/18476,https://twitter.com/EmmanuelCollege,,"Emmanuel Collegeæis a private, coed, Catholic liberal arts and sciences college in the heart of Boston.",Core,"Emmanuel Collegeæis a private, coed, Catholic liberal arts and sciences college in the heart of Boston.",,,Social,Social,,,400 The Fenway,Boston,Massachusetts,02115-5725,Suffolk,USA,Greater Boston,95182461,,,,#NAME?,B43,Universities,42105769,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,95182461,42.34037,-71.10164
Lowell Institute,http://www.lowellinstitute.org/,https://www.facebook.com/pages/The-Lowell-Institute/507335825997040,,,,TheæLowell Instituteæhas sponsored free public lectures and other educational programs throughout the Boston area since its founding in 1836.,Core,TheæLowell Instituteæhas sponsored free public lectures and other educational programs throughout the Boston area since its founding in 1836.,,,Social,Social,,,Po Box 961019,Boston,Massachusetts,02196-1019,Suffolk,USA,Greater Boston,0,,,,#NAME?,#N/A,#N/A,42105771,TBD,TBD,TBD,,,,,,,,,,,,,,,,,0,42.36008,-71.05888
Visiting Nurse Association Of Boston Inc,https://www.bostonvna.org/,,,,,"Established in 1886, the Visiting Nurse Association of Boston is the oldest organized VNA in the country and one of the largest home health care agencies in New England with over 500 employees. The VNA of Bostonæprovided over 183,000 certified home health care visits to more than 12,000 patients in 2013.",Core,"Established in 1886, the Visiting Nurse Association of Boston is the oldest organized VNA in the country and one of the largest home health care agencies in New England with over 500 employees. The VNA of Bostonæprovided over 183,000 certified home health care visits to more than 12,000 patients in 2013.",,,Social,Social,,,500 Rutherford Ave,Boston,Massachusetts,02129-1647,Suffolk,USA,Greater Boston,33480213,,,,#NAME?,E92,Home Health Care,42105800,Foundations of Wellbeing,Health and Wellness,Life expectancy,,,,,,,,,,,,,,,,,33480213,42.38113,-71.07247
Visiting Nurse Association Of Boston Inc,https://www.bostonvna.org/,,,,,"Established in 1886, the Visiting Nurse Association of Boston is the oldest organized VNA in the country and one of the largest home health care agencies in New England with over 500 employees. The VNA of Bostonæprovided over 183,000 certified home health care visits to more than 12,000 patients in 2013.",Flu Clinic Program,The VNA of Boston has a long history of offering preventative health care to hundreds of companies within the Greater Boston area. A major component of our commitment to public health has been our flu immunization program; the largest of its kind within the area.,,,Social,Social,,,501 Rutherford Ave,Boston,Massachusetts,02129-1648,Suffolk,USA,Greater Boston,,,,,,E92,Home Health Care,42105800,Basic Human Needs,Nutrition and Basic Medical Care,Deaths from infectious diseases,,,,,,,,,,,,,,,,,,42.38113,-71.07247
Visiting Nurse Association Of Boston Inc,https://www.bostonvna.org/,,,,,"Established in 1886, the Visiting Nurse Association of Boston is the oldest organized VNA in the country and one of the largest home health care agencies in New England with over 500 employees. The VNA of Bostonæprovided over 183,000 certified home health care visits to more than 12,000 patients in 2013.",Telehealth Home Monitoring,"VNA of Boston uses two types of telehealth. The first type of telehealth uses telephone consultation. We are currently telephone calling some of our high risk for re-hospitalization patients during the first week they are discharged from the hospital to VNAB services to assist with the transition to home. The second type of Telehealth uses telemonitoring equipment which is installed in a patientÍs home. The patient is instructed to check their weight, blood pressure, pulse rate, and oximetry readings daily. The patient is also asked ten disease specific questions concerning their symptoms.",,,Social,Social,,,502 Rutherford Ave,Boston,Massachusetts,02129-1649,Suffolk,USA,Greater Boston,,,,,,E92,Home Health Care,42105800,Foundations of Wellbeing,Health and Wellness,Life expectancy,,,,,,,,,,,,,,,,,,42.38113,-71.07247
Winsor School Inc,https://www.winsor.edu/,https://www.facebook.com/winsorschool,,https://twitter.com/winsorschool,,The Winsor School is a girls' college prep school for day students in grades 5_12 founded in 1886.,Core,The Winsor School is a girls' college prep school for day students in grades 5_12 founded in 1886.,,,Social,Social,,,103 Pilgrim Rd,Boston,Massachusetts,02215-4107,Suffolk,USA,Greater Boston,40040968,,,,#NAME?,B20,Elementary & Secondary Schools,42105842,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,,,,,,,,,,,,,,,,,40040968,42.34086,-71.10765
Nurtury Inc,http://www.nurturyboston.org/,https://www.facebook.com/pages/Associated-Early-Care-and-Education/150178528358741,https://www.linkedin.com/company/associated-early-care-and-education?trk=company_logo,https://twitter.com/nurturyboston,,"When our first program opened in 1878, Nurtury became New England's first child care and early education agency. One hundred and thirty years later, we remain committed to providing high quality, affordable child care to Greater Boston's working families and their children.",Core,"When our first program opened in 1878, Nurtury became New England's first child care and early education agency. One hundred and thirty years later, we remain committed to providing high quality, affordable child care to Greater Boston's working families and their children.",,,Social,Social,,,95 Berkeley St Ste 306,Boston,Massachusetts,02116-6264,Suffolk,USA,Greater Boston,17423344,,,,#NAME?,#N/A,#N/A,42105893,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,17423344,42.34728,-71.07050
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",Core,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,27450386,,,,#NAME?,J32,Goodwill Industries,42106765,Opportunity,Personal Freedom and Choice,Freedom over life choices,,,,,,,,,,,,,,,,,27450386,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",Pathway to Employment initiative,"Through its Pathway to Employment initiative, Goodwill offers a range of job training programs, support services and placement and post-placement services for individuals with barriers to employment. Services are accessible for individuals with disabilities, and are focused on placing them on a path to employment in the workforce and independence.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",Boston Career Link,"Boston Career Link, the one-stop career center operated by Goodwill, offers universal access to a broad range of career counseling services, career resources, workshops, job fairs, and special programs to connect job seekers looking to advance or change careers with employers.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",Beyond Jobs,"The Beyond Jobs program assists women with job training and placement, and also helps them plan for continued success. Goodwill works with each woman to create an individualized plan that outlines how she will gain and retain a job, advance in her career, and ensure long-term financial stability.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Opportunity,Personal Freedom and Choice,Employment opportunity,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",Clothing Collaborative for Job Trainees,Goodwill's Clothing Collaborative for Job Trainees makes available business clothing to male and female job seekers who participate in Boston-based job training and placement programs to assist them in their efforts to obtain and retain meaningful employment. Clothing is provided free of charge.,,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Basic Human Needs,Shelter,Clothing,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",After-School Academy,"GoodwillÍs After-School Academy encourages academic achievement, leadership development, civic engagement and career success for boys and girls ages 12 to 18 from communities surrounding GoodwillÍs Boston headquarters. The Academy, which runs Monday through Friday from 2:30 to 6:30 p.m. during the academic year, offers structured homework assistance, individualized learning plans, other academic enrichment support services, computer access and leadership development.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Morgan Memorial Goodwill Industries Inc,http://www.goodwillmass.org/,https://www.facebook.com/GoodwillBoston/,https://www.linkedin.com/company/morgan-memorial-goodwill-industries?trk=cws-cpw-coname-0-0,https://twitter.com/goodwillboston,,"Morgan Memorial Goodwill Industries' mission is to help individuals with barriers to self-sufficiency to achieve independence and dignity through work.æNot charity, but a chance.",GoodGuides,"Goodwill's GoodGuides Program is a year-round youth mentoring program, which helps teens finish high school and transition into productive careers through the guidance of trusted adults.æThe overall goal of Goodwill's GoodGuides Program is to help youth build career plans and skills, and prepare for school completion, post-secondary training and productive work by providing structured and supportive relationships with trusted adult mentors.",,,Social,Social,,,1010 Harrison Ave,Boston,Massachusetts,02119-2540,Suffolk,USA,Greater Boston,,,,,,J32,Goodwill Industries,42106765,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,,,,,,,,,,,,,,,,,,42.33087,-71.07995
Massachusetts Historical Society,https://www.masshist.org/,http://www.facebook.com/MassachusettsHistoricalSociety,,http://twitter.com/MHS1791,,"Founded in 1791, the Massachusetts Historical Society is an invaluable resource for American history, life, and culture. Its extraordinary collections tell the story of America through millions of rare and unique documents, artifacts, and irreplaceable national treasures.",Core,"Founded in 1791, the Massachusetts Historical Society is an invaluable resource for American history, life, and culture. Its extraordinary collections tell the story of America through millions of rare and unique documents, artifacts, and irreplaceable national treasures.",Library collection,Open,Social,Social,,,1154 Boylston St,Boston,Massachusetts,02215-3695,Suffolk,USA,Massachusetts,3182300,,,,#NAME?,A80,Historical Organizations,42108374,TBD,TBD,TBD,,,,,,,,,,,,,,,,,3182300,42.34649,-71.08992
Boston Center For Adult Education,http://www.bcae.org/,http://www.facebook.com/BCAE122,,http://twitter.com/bcae,,"The Boston Center for Adult Education is the oldest nonprofit adult education center in New England. Founded in 1933, it quickly established itself as a cultural stomping ground where individuals could learn, discuss, create, and enjoy themselves.",Core,"The Boston Center for Adult Education is the oldest nonprofit adult education center in New England. Founded in 1933, it quickly established itself as a cultural stomping ground where individuals could learn, discuss, create, and enjoy themselves.",,,Social,Social,,,122 Arlington St,Boston,Massachusetts,02116-5307,Suffolk,USA,Greater Boston,1935471,,,,#NAME?,B60,Adult Education,42113278,Foundations of Wellbeing,Access to Basic Knowledge,Adult literacy rate,,,,,,,,,,,,,,,,,1935471,42.34920,-71.06936
The Boston Conservatory,https://www.bostonconservatory.edu/,http://www.facebook.com/pages/Boston-MA/The-Boston-Conservatory/25390105318,,http://www.twitter.com/bosconservatory/,,"The Boston Conservatoryætrains exceptional young performing artists for careers that enrich and transform the human experience. Known for its multi-disciplinary environment, the Conservatory offers fully accredited graduate and undergraduate programs in music, dance and theater, and presents more than 700 performances each year by students, faculty and guest artists.",Core,"The Boston Conservatoryætrains exceptional young performing artists for careers that enrich and transform the human experience. Known for its multi-disciplinary environment, the Conservatory offers fully accredited graduate and undergraduate programs in music, dance and theater, and presents more than 700 performances each year by students, faculty and guest artists.",,,Social,Social,,,8 The Fenway,Boston,Massachusetts,02215-4006,Suffolk,USA,Greater Boston,40605767,,,,#NAME?,B40,Higher Education,42126597,TBD,TBD,TBD,,,,,,,,,,,,,,,,,40605767,42.34615,-71.08995
Handel And Haydn Society,https://handelandhaydn.org/,https://www.facebook.com/handelandhaydn/,,,,"For 200 years theæHandel and Haydn Societyæhas enriched life and influenced culture by bringing vocal and instrumental music to America. Founded in Boston in 1815, H+H is considered the oldest continuously performing arts organization in the United States and is celebrating its Bicentennial this season with special concerts and initiatives to mark two centuries of music making.",Core,"For 200 years theæHandel and Haydn Societyæhas enriched life and influenced culture by bringing vocal and instrumental music to America. Founded in Boston in 1815, H+H is considered the oldest continuously performing arts organization in the United States and is celebrating its Bicentennial this season with special concerts and initiatives to mark two centuries of music making.",,,Social,Social,,,9 Harcourt St Ste 101,Boston,Massachusetts,02116-6496,Suffolk,USA,Greater Boston,7298077,,,,#NAME?,A68,Music,42126598,TBD,TBD,TBD,,,,,,,,,,,,,,,,,7298077,42.34584,-71.07839
Schepens Eye Research Institute Inc,http://www.schepens.harvard.edu/,,,,,"Schepens Eye Research Institute of Massachusetts Eye and Ear fights blindness by developing new technologies, therapies and knowledge to retain and restore vision.",Core,"Schepens Eye Research Institute of Massachusetts Eye and Ear fights blindness by developing new technologies, therapies and knowledge to retain and restore vision.",,,Social,Social,,,20 Staniford St,Boston,Massachusetts,02114-2508,Suffolk,USA,United States,22995526,,,,#NAME?,H41,"Eye Diseases, Blindness & Vision Impairments Research",42129889,Foundations of Wellbeing,Health and Wellness,Life expectancy,,,,,,,,,,,,,,,,,22995526,42.36205,-71.06426
Suffolk University,http://www.suffolk.edu/,https://www.facebook.com/suffolkuniversity,,https://twitter.com/Suffolk_U,,Suffolk Universityæin Boston is a private higher education institution offering full- and part-time undergraduate and graduate study.,Core,Suffolk Universityæin Boston is a private higher education institution offering full- and part-time undergraduate and graduate study.,,,Social,Social,,,8 Ashburton Pl,Boston,Massachusetts,02108-2770,Suffolk,USA,Greater Boston,315643732,,,,#NAME?,B43,Universities,42133255,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,315643732,42.35886,-71.06184
New England Law Boston,http://www.nesl.edu/,http://www.facebook.com/pages/New-England-Law-Boston/127566233950313,http://www.linkedin.com/edu/school?id=18503,http://twitter.com/newenglandlaw,,New England Law | Boston offers highly flexible options for earning a Juris Doctor (JD).,Core,New England Law | Boston offers highly flexible options for earning a Juris Doctor (JD).,,,Social,Social,,,154 Stuart St,Boston,Massachusetts,02116-5616,Suffolk,USA,Greater Boston,38070154,,,,#NAME?,B50,Graduate & Professional Schools,42152671,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,38070154,42.35077,-71.06645
Joslin Diabetes Center Inc,http://www.joslin.org/,http://www.facebook.com/joslindiabetes,http://www.linkedin.com/company/joslin-diabetes-center,http://twitter.com/joslindiabetes,,"Joslin is an independent, non-profit institution affiliated with Harvard Medical School, and one of only 11 NIH-designated Diabetes Research Centers in the U.S.",Core,"Joslin is an independent, non-profit institution affiliated with Harvard Medical School, and one of only 11 NIH-designated Diabetes Research Centers in the U.S.",,,Social,Social,,,1 Joslin Pl,Boston,Massachusetts,02215-5306,Suffolk,USA,United States,100951725,,,,#NAME?,G80,Specifically Named Diseases,42203836,Foundations of Wellbeing,Health and Wellness,Premature deaths from non-communicable diseases,,,,,,,,,,,,,,,,,100951725,42.33864,-71.10830
Commonwealth School Inc,http://www.commschool.org/,http://www.facebook.com/profile.php?id=512191622,,http://twitter.com/commschool,,"The mission of Commonwealth School is to educate young people from diverse backgrounds to become knowledgeable, thoughtful, and creative adults, capable of careful analysis, fruitful cooperation, responsible leadership, and deep commitment.",Core,"The mission of Commonwealth School is to educate young people from diverse backgrounds to become knowledgeable, thoughtful, and creative adults, capable of careful analysis, fruitful cooperation, responsible leadership, and deep commitment.",,,Social,Social,,,151 Commonwealth Ave,Boston,Massachusetts,02116-2347,Suffolk,USA,Greater Boston,10164915,,,,#NAME?,B25,Secondary & High Schools,42228167,Foundations of Wellbeing,Access to Basic Knowledge,Upper secondary school enrollment,,,,,,,,,,,,,,,,,10164915,42.35234,-71.07819
Health Resources In Action Inc,http://www.hria.org/,,,,,"For over fifty years,æHealth Resources in Actionæhas been a leader in developing programs that advance public health and medical research. Through our Community Health and Medical Foundation divisions, we work with governments, communities, scientists, and nonprofit organizations that share an imperative for resolving todayÍs most critical public health issues throughæpolicy, research, prevention, and health promotion.",Core,"For over fifty years,æHealth Resources in Actionæhas been a leader in developing programs that advance public health and medical research. Through our Community Health and Medical Foundation divisions, we work with governments, communities, scientists, and nonprofit organizations that share an imperative for resolving todayÍs most critical public health issues throughæpolicy, research, prevention, and health promotion.",,,Social,Social,,,95 Berkeley Street,Boston,Massachusetts,02116-6230,Suffolk,USA,Greater Boston,10235589,,,,#NAME?,B25,Secondary & High Schools,42228167,Foundations of Wellbeing,Health and Wellness,Life expectancy,,,,,,,,,,,,,,,,,10235589,42.34728,-71.07050
Massachusetts Higher Education Assistance Corporation,http://www.asa.org/,http://www.asa.org/#,,,,"At American Student Assistance¬ (ASA), our vision is for every student who wants a college degree to be able to get it in a financially responsible way. To help as many people as possible do this, we are committed to ensuring our services are accessible.",Core,"At American Student Assistance¬ (ASA), our vision is for every student who wants a college degree to be able to get it in a financially responsible way. To help as many people as possible do this, we are committed to ensuring our services are accessible.",,,Social,Social,,,100 Cambridge St Ste 1600,Boston,Massachusetts,02114-2518,Suffolk,USA,United States,176374512,,,,#NAME?,#N/A,#N/A,42254705,Opportunity,Access to Advanced Education,Years of tertiary schooling,,,,,,,,,,,,,,,,,176374512,42.36047,-71.06209
Beacon Hill Nursery School,http://www.bhns.net/,,,,,"Beacon Hill Nursery School was founded in 1955. Our primary mission: to nurture our studentsÍ innate curiosity and lay the foundation for a lifelong love of learning. Teachers, children, and parents all play important roles in the educational process.",Core,"Beacon Hill Nursery School was founded in 1955. Our primary mission: to nurture our studentsÍ innate curiosity and lay the foundation for a lifelong love of learning. Teachers, children, and parents all play important roles in the educational process.",,,Social,Social,,,74 Joy St,Boston,Massachusetts,02114-4055,Suffolk,USA,Greater Boston,3299226,,,,#NAME?,B21,Preschools,42255588,Foundations of Wellbeing,Access to Basic Knowledge,Primary school enrollment,,,,,,,,,,,,,,,,,3299226,42.36075,-71.06537
Third Sector New England Inc,http://tsne.org/,http://www.facebook.com/thirdsectornewengland,http://www.linkedin.com/company/third-sector-new-england,http://twitter.com/tsne,,"Third Sector New England provides management and leadership resources to help nonprofits support healthy, just communities. With a staff of dedicated nonprofit professionals, TSNE is an effective fiscal sponsor, convener, consultant and grantmaker, offering a unique blend of capacity-building programs and services focused on strengthening nonprofits for a deeper impact on the communities they serve.",Core,"Third Sector New England provides management and leadership resources to help nonprofits support healthy, just communities. With a staff of dedicated nonprofit professionals, TSNE is an effective fiscal sponsor, convener, consultant and grantmaker, offering a unique blend of capacity-building programs and services focused on strengthening nonprofits for a deeper impact on the communities they serve.",,,Social,Social,,,89 South St Ste 700,Boston,Massachusetts,02111-2679,Suffolk,USA,Northeast,36602911,,,,#NAME?,H03,Professional Societies & Associations ,42261109,TBD,TBD,TBD,,,,,,,,,,,,,,,,,36602911,42.35185,-71.05743
